link_id,demand_ab,demand_ba,demand_tot,Preload_AB,Preload_BA,Preload_tot,Congested_Time_AB,Congested_Time_BA,Congested_Time_Max,Delay_factor_AB,Delay_factor_BA,Delay_factor_Max,VOC_AB,VOC_BA,VOC_max,PCE_AB,PCE_BA,PCE_tot
1,8.892890624477328,0.0,8.892890624477328,0.0,0.0,0.0,0.9952958542938872,0.0,0.9952958542938872,1.0000000000036646,0.0,1.0000000000036646,0.002223222656119332,0.0,0.002223222656119332,88.92890624477327,0.0,88.92890624477327
2,3.653005129209645,0.0,3.653005129209645,0.0,0.0,0.0,0.26358118871335634,0.0,0.26358118871335634,1.0000000000001044,0.0,1.0000000000001044,0.0009132512823024113,0.0,0.0009132512823024113,36.530051292096445,0.0,36.530051292096445
3,3.653005129209645,0.0,3.653005129209645,0.0,0.0,0.0,1.896523784312775,0.0,1.896523784312775,1.0000000000001044,0.0,1.0000000000001044,0.0009132512823024113,0.0,0.0009132512823024113,36.530051292096445,0.0,36.530051292096445
4,0.0,0.0,0.0,0.0,0.0,0.0,0.16627924686625498,0.16627924686625498,0.16627924686625498,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.12876316164342552,0.12876316164342552,0.12876316164342552,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.48721358300300344,0.48721358300300344,0.48721358300300344,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0686860715735759,0.0686860715735759,0.0686860715735759,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,4.079101036524728,4.079101036524728,4.079101036524728,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.3014049696072543,1.3014049696072543,1.3014049696072543,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.7722941003918256,0.7722941003918256,0.7722941003918256,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,2.6406246363773027,2.6406246363773027,2.6406246363773027,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.4694599574338602,0.4694599574338602,0.4694599574338602,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.04205389751919561,0.04205389751919561,0.04205389751919561,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.14661239291552025,0.14661239291552025,0.14661239291552025,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.3289340381276996,0.3289340381276996,0.3289340381276996,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.1757125938805674,0.1757125938805674,0.1757125938805674,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.20200562810033063,0.20200562810033063,0.20200562810033063,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.6125774598794124,0.6125774598794124,0.6125774598794124,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.611346227616036,0.611346227616036,0.611346227616036,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.12015806254374917,0.12015806254374917,0.12015806254374917,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.15067073978394221,0.15067073978394221,0.15067073978394221,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.12441176851005986,0.12441176851005986,0.12441176851005986,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.1743600677138417,0.1743600677138417,0.1743600677138417,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.21552289211236023,0.21552289211236023,0.21552289211236023,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.19339723875240966,0.19339723875240966,0.19339723875240966,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.13442678391718565,0.13442678391718565,0.13442678391718565,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.198302856931659,0.198302856931659,0.198302856931659,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.17653796689289922,0.17653796689289922,0.17653796689289922,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.06409166045664215,0.06409166045664215,0.06409166045664215,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.20328240011414553,0.20328240011414553,0.20328240011414553,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.08215956763265235,0.08215956763265235,0.08215956763265235,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.3180155037398231,0.3180155037398231,0.3180155037398231,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.2589390657161794,0.2589390657161794,0.2589390657161794,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.8855913686650303,0.0,1.8855913686650303,0.0,0.0,0.0,1.0789932788689418,1.0789932787890208,1.0789932788689418,1.0000000000740699,1.0,1.0000000000740699,0.004713978421662576,0.0,0.004713978421662576,18.8559136866503,0.0,18.8559136866503
35,1.8855913686650303,0.0,1.8855913686650303,0.0,0.0,0.0,0.0900260397140999,0.09002603970743168,0.0900260397140999,1.0000000000740699,1.0,1.0000000000740699,0.004713978421662576,0.0,0.004713978421662576,18.8559136866503,0.0,18.8559136866503
36,1.8855913686650303,0.0,1.8855913686650303,0.0,0.0,0.0,0.18860509058340447,0.1886050905694345,0.18860509058340447,1.0000000000740699,1.0,1.0000000000740699,0.004713978421662576,0.0,0.004713978421662576,18.8559136866503,0.0,18.8559136866503
37,1.8855913686650303,0.0,1.8855913686650303,0.0,0.0,0.0,0.21185596559330988,0.21185596557761774,0.21185596559330988,1.0000000000740699,1.0,1.0000000000740699,0.004713978421662576,0.0,0.004713978421662576,18.8559136866503,0.0,18.8559136866503
38,0.0,0.0,0.0,0.0,0.0,0.0,0.40049281076164867,0.40049281076164867,0.40049281076164867,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.6162319841881518,0.6162319841881518,0.6162319841881518,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.5290818303785915,0.5290818303785915,0.5290818303785915,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.23887527948077522,0.23887527948077522,0.23887527948077522,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,1.0417668540265337,1.0417668540265337,1.0417668540265337,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.5559233305144607,0.5559233305144607,0.5559233305144607,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.43356861372290884,0.43356861372290884,0.43356861372290884,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,11.976423085511009,0.0,11.976423085511009,0.0,0.0,0.0,0.21315613709381787,0.0,0.21315613709381787,1.0000000002939746,0.0,1.0000000002939746,0.006653568380839449,0.0,0.006653568380839449,119.76423085511009,0.0,119.76423085511009
46,1.9680261805633075,0.0,1.9680261805633075,0.0,0.0,0.0,0.3003361495463679,0.0,0.3003361495463679,1.0000000000002143,0.0,1.0000000000002143,0.0010933478780907264,0.0,0.0010933478780907264,19.680261805633073,0.0,19.680261805633073
47,0.0,0.0,0.0,0.0,0.0,0.0,0.3740112887795529,0.3740112887795529,0.3740112887795529,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.32012484960505994,0.32012484960505994,0.32012484960505994,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.08969216851901213,0.08969216851901213,0.08969216851901213,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.1677859705201068,0.1677859705201068,0.1677859705201068,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.3944287452266348,0.3944287452266348,0.3944287452266348,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.6662152944716754,0.6662152944716754,0.6662152944716754,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.15884459149066635,0.15884459149066635,0.15884459149066635,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.4526330569744678,0.4526330569744678,0.4526330569744678,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
