link_id,demand_ab,demand_ba,demand_tot,Preload_AB,Preload_BA,Preload_tot,Congested_Time_AB,Congested_Time_BA,Congested_Time_Max,Delay_factor_AB,Delay_factor_BA,Delay_factor_Max,VOC_AB,VOC_BA,VOC_max,PCE_AB,PCE_BA,PCE_tot
7842,632.4875125824884,664.3215217866808,1296.8090343691692,0.0,0.0,0.0,0.13706869951873243,0.1381187368232568,0.1381187368232568,1.0365871889562686,1.044528135515314,1.044528135515314,0.7027639028694316,0.7381350242074232,0.7381350242074232,6324.875125824884,6643.2152178668075,12968.090343691692
7843,632.4875125824884,664.3215217866808,1296.8090343691692,0.0,0.0,0.0,0.13603356911273456,0.13707567663062517,0.13707567663062517,1.0365871889562686,1.044528135515314,1.044528135515314,0.7027639028694316,0.7381350242074232,0.7381350242074232,6324.875125824884,6643.2152178668075,12968.090343691692
7844,632.4875125824884,664.3215217866808,1296.8090343691692,0.0,0.0,0.0,0.010365871889562686,0.01044528135515314,0.01044528135515314,1.0365871889562686,1.044528135515314,1.044528135515314,0.7027639028694316,0.7381350242074232,0.7381350242074232,6324.875125824884,6643.2152178668075,12968.090343691692
7845,632.4875125824884,664.3215217866808,1296.8090343691692,0.0,0.0,0.0,0.26269893660263716,0.264711384989907,0.264711384989907,1.0365871889562686,1.044528135515314,1.044528135515314,0.7027639028694316,0.7381350242074232,0.7381350242074232,6324.875125824884,6643.2152178668075,12968.090343691692
7846,632.4875125824884,664.3215217866808,1296.8090343691692,0.0,0.0,0.0,0.010365871889562686,0.01044528135515314,0.01044528135515314,1.0365871889562686,1.044528135515314,1.044528135515314,0.7027639028694316,0.7381350242074232,0.7381350242074232,6324.875125824884,6643.2152178668075,12968.090343691692
7847,632.4875125824884,664.3215217866808,1296.8090343691692,0.0,0.0,0.0,0.4430637413452803,0.4464579039683166,0.4464579039683166,1.0365871889562686,1.044528135515314,1.044528135515314,0.7027639028694316,0.7381350242074232,0.7381350242074232,6324.875125824884,6643.2152178668075,12968.090343691692
7848,632.4875125824884,664.3215217866808,1296.8090343691692,0.0,0.0,0.0,0.022113972160069155,0.022283379878978108,0.022283379878978108,1.0365871889562686,1.044528135515314,1.044528135515314,0.7027639028694316,0.7381350242074232,0.7381350242074232,6324.875125824884,6643.2152178668075,12968.090343691692
7849,632.4875125824884,664.3215217866808,1296.8090343691692,0.0,0.0,0.0,0.010543463855472526,0.010624233793511057,0.010624233793511057,1.0365871889562686,1.044528135515314,1.044528135515314,0.7027639028694316,0.7381350242074232,0.7381350242074232,6324.875125824884,6643.2152178668075,12968.090343691692
7850,586.3486656928653,627.5046501094129,1213.8533158022783,0.0,0.0,0.0,0.5808431713666041,0.5856074837299584,0.5856074837299584,1.027023710895811,1.0354477778462179,1.0354477778462179,0.651498517436517,0.6972273890104588,0.6972273890104588,5863.486656928653,6275.046501094128,12138.533158022783
7851,586.3486656928653,627.5046501094129,1213.8533158022783,0.0,0.0,0.0,0.2195666293264909,0.2213676042853925,0.2213676042853925,1.027023710895811,1.0354477778462179,1.0354477778462179,0.651498517436517,0.6972273890104588,0.6972273890104588,5863.486656928653,6275.046501094128,12138.533158022783
7852,586.3486656928653,627.5046501094129,1213.8533158022783,0.0,0.0,0.0,0.13236478711319444,0.13345049703078274,0.13345049703078274,1.027023710895811,1.0354477778462179,1.0354477778462179,0.651498517436517,0.6972273890104588,0.6972273890104588,5863.486656928653,6275.046501094128,12138.533158022783
