GEOID,NAMELSAD,zone_id,centroid_lon,centroid_lat,area_sq_mi,total_jobs,jobs_source,retail_jobs,health_jobs,education_jobs,accommodation_jobs,govt_jobs,est_population,households
060570012091,Block Group 1 (Tract 001209),57,-120.2030834,39.328719,1.571156,3325,lodes_wac_bg,499,299,332,133,233,5747,2254
060570012072,Block Group 2 (Tract 001207),58,-120.1673988,39.3586875,2.095512,476,lodes_wac_bg,71,43,48,19,33,1843,723
060570012081,Block Group 1 (Tract 001208),59,-120.2469644,39.3457574,1.518633,146,lodes_wac_bg,22,13,15,6,10,434,170
060570001075,Block Group 5 (Tract 000107),60,-121.0705529,39.0411819,0.657038,261,lodes_wac_bg,39,23,26,10,18,992,389
060570008025,Block Group 5 (Tract 000802),61,-121.0697819,39.2624315,3.263276,42,lodes_wac_bg,6,4,4,2,3,1170,459
060570004043,Block Group 3 (Tract 000404),62,-121.1539543,39.2255343,8.578176,217,lodes_wac_bg,33,20,22,9,15,781,306
060570006011,Block Group 1 (Tract 000601),63,-121.0267992,39.2297614,1.23592,1103,lodes_wac_bg,165,99,110,44,77,3571,1400
060570007015,Block Group 5 (Tract 000701),64,-120.9837762,39.2013694,4.609896,85,lodes_wac_bg,13,8,8,3,6,754,296
060570008011,Block Group 1 (Tract 000801),65,-121.0569962,39.2898348,9.986295,263,lodes_wac_bg,39,24,26,11,18,420,165
060570008021,Block Group 1 (Tract 000802),66,-121.000095,39.2477409,2.590957,290,lodes_wac_bg,44,26,29,12,20,1461,573
060570009002,Block Group 2 (Tract 000900),67,-121.1262892,39.3220929,36.056738,195,lodes_wac_bg,29,18,20,8,14,1788,701
060570001053,Block Group 3 (Tract 000105),68,-121.1162745,39.0600395,8.567009,90,lodes_wac_bg,14,8,9,4,6,283,111
060570007016,Block Group 6 (Tract 000701),69,-120.8379918,39.261618,54.341306,43,lodes_wac_bg,6,4,4,2,3,857,336
060570007021,Block Group 1 (Tract 000702),70,-120.99108,39.1515698,12.565555,135,lodes_wac_bg,20,12,14,5,9,697,273
060570012112,Block Group 2 (Tract 001211),71,-120.1950774,39.3505618,3.316358,372,lodes_wac_bg,56,33,37,15,26,1584,621
060570012111,Block Group 1 (Tract 001211),72,-120.1778376,39.3510033,0.860394,644,lodes_wac_bg,97,58,64,26,45,1625,637
060570012053,Block Group 3 (Tract 001205),73,-120.1411744,39.3551444,5.539064,544,lodes_wac_bg,82,49,54,22,38,750,294
060570009003,Block Group 3 (Tract 000900),74,-121.1355403,39.266774,8.395381,60,lodes_wac_bg,9,5,6,2,4,825,324
060570012051,Block Group 1 (Tract 001205),75,-120.0940707,39.3359024,14.772134,723,lodes_wac_bg,108,65,72,29,51,2245,881
060570009001,Block Group 1 (Tract 000900),76,-120.9539708,39.3751726,69.948472,323,lodes_wac_bg,48,29,32,13,23,1651,647
060570001042,Block Group 2 (Tract 000104),77,-121.0536453,39.1544679,1.327644,95,lodes_wac_bg,14,9,10,4,7,363,142
060570001051,Block Group 1 (Tract 000105),78,-121.0752165,39.0914919,3.728383,48,lodes_wac_bg,7,4,5,2,3,239,94
060570003002,Block Group 2 (Tract 000300),79,-121.0947414,39.1594672,12.395542,102,lodes_wac_bg,15,9,10,4,7,365,143
060570005021,Block Group 1 (Tract 000502),80,-121.0666081,39.2155098,0.168881,325,lodes_wac_bg,49,29,32,13,23,872,342
