origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
11,447.17,413.52,351.75,64.13,220.17,117.0,324.65,298.33,482.67,333.28,108.63,296.56,681.6,324.92,886.98,335.73,220.69,282.42,754.41,933.28,405.83,49.83,372.48,221.1,13.35,6.14
12,123.91,85.22,111.14,19.72,68.87,34.09,66.23,151.22,156.23,253.1,276.35,15.64,230.07,78.79,198.8,111.55,71.5,92.74,205.77,310.93,135.59,17.37,123.92,73.49,4.66,2.14
13,369.45,250.9,339.97,59.7,207.69,102.83,195.77,305.96,479.1,319.07,665.83,241.42,133.39,497.23,596.54,394.89,244.28,334.7,1030.21,964.71,422.54,57.45,384.2,227.84,15.39,7.1
14,156.06,106.91,162.23,25.19,87.49,43.29,82.86,120.58,233.3,119.58,287.92,83.52,473.79,22.93,257.1,202.39,136.71,159.55,696.24,484.54,210.33,25.13,193.64,115.05,6.73,3.11
15,382.57,278.97,321.89,59.77,214.02,102.52,207.68,287.62,446.19,295.11,840.74,219.41,605.48,283.42,118.1,340.79,318.44,285.01,696.08,875.55,383.53,52.22,348.52,206.59,14.0,6.44
16,560.67,227.45,528.01,119.84,454.92,221.48,244.94,496.26,755.98,312.66,333.39,122.02,399.38,200.32,331.27,2274.41,533.74,695.35,808.33,1541.27,722.08,183.56,596.51,347.8,49.35,22.48
17,415.31,141.79,300.9,101.47,414.35,125.59,148.18,286.87,426.9,189.0,216.12,76.82,243.55,133.83,307.53,526.02,592.28,318.71,376.27,845.54,407.63,106.99,335.33,195.67,28.68,13.08
18,437.85,195.13,394.26,87.56,317.4,159.24,199.01,388.73,558.32,259.64,309.52,110.29,382.55,177.02,304.0,687.86,314.7,940.77,800.11,1168.66,557.95,166.23,448.98,262.09,44.19,20.17
19,548.31,336.15,481.28,91.95,323.3,160.49,281.39,434.75,674.07,395.56,763.47,238.12,1124.7,669.17,705.61,835.38,387.91,713.49,362.31,1342.37,597.38,99.92,530.95,313.91,26.7,12.24
20,1415.56,643.91,768.48,398.02,1330.64,575.92,540.07,1116.58,748.1,737.17,940.35,361.34,963.9,483.03,873.46,1545.25,849.46,1213.09,1338.77,3755.31,1368.39,1234.69,637.32,455.3,348.6,223.38
21,648.38,285.58,499.74,189.89,653.49,270.97,248.26,524.49,594.65,334.61,412.37,158.51,425.72,210.75,385.47,738.15,418.36,606.86,601.43,1383.06,2254.1,2649.24,795.65,634.04,427.55,282.52
22,128.7,42.18,310.41,44.48,178.43,64.29,51.02,124.5,484.27,62.08,53.38,20.55,60.52,25.58,54.05,196.34,115.92,212.31,103.37,1241.87,2596.58,1031.66,914.35,1311.2,583.17,719.95
23,557.97,256.48,313.63,159.01,529.42,224.87,212.66,436.44,306.97,291.48,375.92,144.44,384.5,193.41,348.49,600.67,338.23,464.76,531.32,641.9,791.63,918.46,416.47,265.17,559.58,159.92
24,331.75,153.11,207.45,94.51,313.97,133.03,126.49,258.71,216.77,173.62,224.72,86.33,229.8,115.7,208.23,355.95,200.72,276.68,317.38,464.61,688.49,1159.39,286.89,155.53,231.82,128.78
25,35.8,11.71,88.33,12.35,49.47,17.94,14.17,34.64,138.04,17.24,14.81,5.7,16.77,7.09,14.99,54.52,32.09,58.37,28.59,353.46,428.82,599.87,571.29,201.65,81.15,171.49
26,15.67,5.17,55.84,5.41,21.54,7.82,6.2,15.08,88.98,7.57,6.56,2.53,7.43,3.15,6.63,23.73,13.96,25.35,12.59,224.79,280.49,723.24,159.06,117.54,165.64,15.35
