origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,1101.91,822.85,898.32,251.61,939.15,404.65,266.15,459.1,725.87,319.47,439.74,137.06,375.37,160.16,384.48,572.39,429.3,450.02,537.91,1416.6,640.37,122.25,556.41,327.02,32.91,15.01
2,817.75,83.66,357.27,83.34,269.23,129.53,136.99,192.56,327.75,166.93,382.86,93.51,251.63,111.63,281.3,231.22,146.19,188.44,326.89,645.13,283.75,40.5,256.38,151.79,10.88,4.99
3,891.5,356.24,465.24,289.6,894.1,448.42,260.5,402.16,397.57,271.38,350.89,126.81,340.31,162.56,320.79,529.43,303.44,399.29,475.78,768.4,494.98,307.18,312.54,205.14,86.71,55.36
4,234.9,78.8,276.38,95.31,754.83,95.77,47.75,89.64,186.31,54.75,61.1,20.85,57.74,24.37,56.88,115.35,95.43,88.2,85.74,395.78,185.44,40.75,157.79,92.58,10.96,5.03
5,918.93,265.64,886.9,806.2,1612.31,348.57,174.88,341.2,631.08,202.66,217.7,75.29,208.23,87.43,209.87,453.76,419.68,335.27,312.75,1324.72,637.0,164.83,524.89,306.13,44.25,20.18
6,399.14,128.56,447.38,101.08,351.14,440.7,173.88,192.55,298.2,102.4,118.83,37.77,104.47,43.79,102.11,224.3,128.75,170.65,157.38,575.03,265.95,60.51,223.61,130.46,16.36,7.44
7,269.7,141.63,260.15,49.93,175.63,173.76,146.92,230.42,289.42,155.16,328.05,73.57,200.12,86.48,209.81,249.1,152.77,199.11,276.94,539.86,244.57,47.91,211.88,124.53,12.88,5.88
8,438.3,185.25,396.99,91.24,332.36,186.29,222.54,1103.07,710.96,680.01,292.84,158.56,302.56,117.39,274.14,481.29,282.22,385.54,404.16,1111.29,512.32,114.59,433.28,253.47,30.89,14.11
9,719.21,325.57,395.92,187.52,628.76,296.17,288.67,717.42,647.41,420.36,486.88,178.19,476.44,232.1,441.19,751.73,425.94,562.0,663.6,745.14,587.73,480.1,304.99,213.88,135.97,88.34
10,307.6,161.67,268.82,56.0,199.0,99.28,149.05,686.32,419.16,194.95,327.83,263.76,318.59,118.04,282.62,305.57,187.38,245.68,366.67,735.74,329.61,57.82,290.34,171.19,15.54,7.13
