origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
31,0.0,8.0,4.0,4.0,48.0,8.0,28.0,16.0,0.0,8.0,0.0,8.0,16.0,48.0,40.0,0.0,44.0,68.0,4.0,12.0,12.0,44.0,0.0,60.0,4.0,72.0,44.0,0.0,4.0,80.0,280.0,0.0,20.0,8.0,16.0,4.0,0.0,0.0,16.0,12.0,40.0,24.0,0.0,84.0,4.0,52.0,0.0,4.0,28.0,8.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,20.0,28.0,96.0,24.0,28.0,16.0,28.0,4.0,0.0,20.0,0.0,0.0,16.0,0.0,8.0,12.0,0.0,0.0,28.0,0.0,0.0,4.0,16.0,4.0,0.0,32.0,8.0,20.0,0.0,8.0,0.0,0.0,0.0
32,428.0,36.0,280.0,688.0,320.0,388.0,232.0,628.0,388.0,732.0,248.0,348.0,392.0,124.0,524.0,4.0,440.0,304.0,344.0,136.0,428.0,184.0,452.0,148.0,16.0,128.0,104.0,0.0,328.0,392.0,128.0,920.0,80.0,168.0,280.0,200.0,432.0,332.0,440.0,176.0,92.0,136.0,4.0,200.0,236.0,236.0,40.0,552.0,508.0,356.0,468.0,392.0,40.0,356.0,152.0,72.0,544.0,4.0,16.0,64.0,176.0,168.0,84.0,144.0,224.0,112.0,192.0,352.0,340.0,52.0,4.0,280.0,408.0,24.0,244.0,548.0,192.0,420.0,0.0,280.0,128.0,516.0,76.0,260.0,312.0,332.0,200.0,0.0,336.0,724.0,412.0,4.0
33,88.0,0.0,92.0,220.0,32.0,112.0,92.0,164.0,128.0,60.0,84.0,160.0,76.0,52.0,232.0,0.0,88.0,112.0,44.0,20.0,104.0,24.0,80.0,60.0,4.0,48.0,40.0,0.0,24.0,100.0,56.0,64.0,296.0,20.0,16.0,152.0,84.0,52.0,48.0,80.0,36.0,36.0,4.0,44.0,36.0,36.0,32.0,348.0,152.0,240.0,96.0,220.0,28.0,88.0,64.0,24.0,48.0,0.0,4.0,16.0,40.0,48.0,92.0,8.0,80.0,4.0,24.0,112.0,88.0,4.0,4.0,124.0,92.0,4.0,144.0,64.0,24.0,44.0,0.0,84.0,32.0,64.0,4.0,116.0,224.0,52.0,56.0,0.0,116.0,188.0,76.0,0.0
34,24.0,0.0,8.0,0.0,12.0,44.0,12.0,20.0,0.0,20.0,4.0,20.0,32.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,8.0,8.0,12.0,0.0,4.0,0.0,0.0,32.0,8.0,0.0,20.0,0.0,64.0,20.0,8.0,8.0,20.0,60.0,4.0,0.0,8.0,0.0,4.0,16.0,12.0,8.0,12.0,4.0,12.0,36.0,16.0,0.0,4.0,8.0,0.0,60.0,0.0,0.0,0.0,4.0,0.0,4.0,16.0,12.0,8.0,16.0,4.0,0.0,4.0,0.0,4.0,8.0,0.0,0.0,16.0,0.0,16.0,0.0,4.0,4.0,28.0,12.0,12.0,8.0,32.0,16.0,0.0,12.0,20.0,40.0,0.0
35,24.0,4.0,40.0,60.0,40.0,80.0,0.0,28.0,20.0,100.0,20.0,12.0,96.0,12.0,28.0,0.0,52.0,36.0,24.0,8.0,28.0,16.0,4.0,16.0,0.0,36.0,24.0,0.0,28.0,48.0,28.0,24.0,16.0,48.0,132.0,32.0,16.0,16.0,40.0,4.0,12.0,4.0,0.0,8.0,16.0,56.0,8.0,44.0,40.0,40.0,8.0,56.0,0.0,28.0,0.0,0.0,52.0,0.0,0.0,4.0,24.0,16.0,16.0,0.0,12.0,8.0,64.0,4.0,4.0,0.0,0.0,16.0,16.0,0.0,16.0,32.0,44.0,0.0,0.0,20.0,4.0,80.0,0.0,4.0,8.0,40.0,48.0,0.0,12.0,32.0,36.0,0.0
36,76.0,8.0,20.0,60.0,32.0,60.0,20.0,64.0,4.0,108.0,44.0,20.0,16.0,12.0,112.0,0.0,36.0,36.0,24.0,20.0,36.0,16.0,44.0,12.0,0.0,24.0,24.0,0.0,48.0,32.0,32.0,80.0,40.0,12.0,40.0,184.0,52.0,44.0,28.0,12.0,8.0,16.0,4.0,0.0,40.0,16.0,8.0,92.0,32.0,52.0,44.0,60.0,8.0,32.0,8.0,20.0,24.0,0.0,8.0,4.0,8.0,16.0,12.0,4.0,52.0,32.0,8.0,40.0,36.0,0.0,8.0,108.0,24.0,8.0,64.0,32.0,60.0,32.0,0.0,16.0,24.0,32.0,12.0,20.0,60.0,40.0,16.0,0.0,64.0,88.0,32.0,0.0
37,104.0,16.0,48.0,76.0,84.0,152.0,48.0,108.0,84.0,148.0,44.0,104.0,112.0,48.0,108.0,4.0,148.0,92.0,136.0,48.0,180.0,60.0,236.0,56.0,4.0,52.0,44.0,4.0,76.0,136.0,40.0,260.0,28.0,12.0,60.0,56.0,332.0,124.0,164.0,36.0,12.0,44.0,0.0,52.0,40.0,48.0,4.0,76.0,140.0,88.0,108.0,120.0,8.0,48.0,52.0,4.0,140.0,0.0,16.0,12.0,60.0,76.0,32.0,36.0,120.0,36.0,60.0,120.0,72.0,48.0,0.0,112.0,128.0,16.0,60.0,160.0,52.0,60.0,0.0,120.0,48.0,64.0,8.0,44.0,112.0,96.0,44.0,0.0,80.0,192.0,100.0,0.0
38,4.0,0.0,8.0,32.0,20.0,8.0,28.0,52.0,16.0,68.0,24.0,52.0,20.0,12.0,12.0,0.0,44.0,12.0,36.0,8.0,16.0,8.0,16.0,16.0,0.0,4.0,4.0,0.0,4.0,24.0,40.0,16.0,28.0,4.0,8.0,36.0,24.0,88.0,16.0,0.0,4.0,8.0,0.0,12.0,44.0,4.0,4.0,36.0,52.0,20.0,4.0,36.0,0.0,36.0,4.0,12.0,28.0,0.0,0.0,12.0,4.0,0.0,8.0,8.0,36.0,0.0,20.0,36.0,8.0,0.0,0.0,40.0,28.0,0.0,36.0,40.0,20.0,24.0,0.0,16.0,12.0,20.0,0.0,4.0,24.0,28.0,4.0,0.0,20.0,56.0,20.0,0.0
39,48.0,12.0,20.0,60.0,124.0,76.0,20.0,40.0,40.0,68.0,4.0,20.0,64.0,16.0,56.0,0.0,44.0,64.0,24.0,8.0,52.0,24.0,24.0,12.0,0.0,4.0,24.0,0.0,72.0,128.0,16.0,68.0,20.0,28.0,60.0,24.0,24.0,8.0,312.0,52.0,12.0,12.0,8.0,44.0,16.0,52.0,8.0,96.0,72.0,36.0,44.0,36.0,12.0,12.0,12.0,16.0,56.0,0.0,4.0,8.0,68.0,88.0,44.0,24.0,48.0,20.0,36.0,32.0,40.0,8.0,0.0,60.0,40.0,20.0,60.0,20.0,8.0,64.0,0.0,52.0,16.0,40.0,16.0,0.0,8.0,72.0,68.0,0.0,48.0,68.0,68.0,4.0
40,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,28.0,0.0,4.0,8.0,4.0,0.0,8.0,4.0,56.0,0.0,12.0,0.0,8.0,96.0,0.0,0.0,16.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,260.0,16.0,40.0,0.0,40.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,20.0,4.0,8.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,32.0,0.0,32.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,8.0,0.0
41,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,4.0,44.0,0.0,0.0,0.0,56.0,4.0,4.0,0.0,32.0,0.0,40.0,0.0,12.0,76.0,0.0,0.0,4.0,8.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,52.0,648.0,116.0,4.0,12.0,0.0,4.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,20.0,4.0,40.0,0.0,0.0,0.0,68.0,24.0,0.0,0.0,12.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,12.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0
42,8.0,4.0,4.0,16.0,28.0,8.0,8.0,0.0,0.0,4.0,0.0,8.0,0.0,52.0,4.0,0.0,4.0,8.0,4.0,0.0,4.0,32.0,0.0,20.0,0.0,48.0,72.0,0.0,4.0,44.0,16.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,8.0,68.0,96.0,564.0,4.0,52.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,12.0,4.0,4.0,0.0,144.0,20.0,36.0,12.0,40.0,0.0,48.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,4.0,24.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,4.0,0.0
43,0.0,4.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,4.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,32.0,88.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0
44,32.0,24.0,12.0,12.0,24.0,68.0,32.0,40.0,16.0,76.0,24.0,24.0,112.0,304.0,52.0,0.0,48.0,92.0,20.0,32.0,20.0,400.0,28.0,204.0,0.0,184.0,208.0,0.0,16.0,124.0,84.0,48.0,20.0,28.0,24.0,40.0,20.0,24.0,24.0,228.0,92.0,236.0,4.0,544.0,32.0,24.0,0.0,28.0,24.0,16.0,32.0,44.0,4.0,48.0,28.0,116.0,28.0,4.0,0.0,116.0,164.0,124.0,48.0,140.0,8.0,272.0,16.0,20.0,4.0,16.0,0.0,56.0,68.0,8.0,40.0,28.0,16.0,12.0,0.0,28.0,4.0,20.0,0.0,24.0,60.0,88.0,72.0,4.0,8.0,36.0,60.0,0.0
45,24.0,8.0,32.0,40.0,28.0,48.0,4.0,52.0,64.0,72.0,20.0,40.0,20.0,4.0,40.0,0.0,12.0,44.0,28.0,16.0,16.0,24.0,24.0,24.0,0.0,0.0,4.0,8.0,28.0,12.0,12.0,44.0,68.0,8.0,12.0,32.0,48.0,68.0,36.0,0.0,8.0,8.0,4.0,12.0,140.0,20.0,8.0,84.0,60.0,60.0,56.0,40.0,4.0,28.0,8.0,28.0,28.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,64.0,8.0,20.0,80.0,32.0,16.0,0.0,24.0,28.0,16.0,36.0,28.0,4.0,52.0,0.0,60.0,12.0,72.0,4.0,52.0,44.0,8.0,20.0,0.0,16.0,56.0,60.0,0.0
46,24.0,0.0,8.0,16.0,12.0,24.0,4.0,16.0,12.0,64.0,4.0,16.0,8.0,0.0,8.0,0.0,40.0,16.0,12.0,0.0,0.0,8.0,12.0,4.0,0.0,16.0,36.0,0.0,4.0,16.0,12.0,4.0,0.0,40.0,4.0,12.0,0.0,0.0,36.0,0.0,8.0,8.0,0.0,12.0,0.0,72.0,0.0,20.0,16.0,8.0,8.0,16.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,32.0,8.0,4.0,0.0,4.0,4.0,8.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0,16.0,12.0,0.0,0.0,12.0,4.0,12.0,0.0,0.0,16.0,28.0,0.0
47,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,4.0,4.0,4.0,4.0,8.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,16.0,64.0,20.0,4.0,16.0,0.0,4.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0,0.0,0.0,0.0,4.0,8.0,4.0,0.0
48,0.0,16.0,16.0,20.0,4.0,0.0,4.0,64.0,32.0,20.0,32.0,36.0,12.0,12.0,20.0,0.0,8.0,4.0,8.0,8.0,8.0,12.0,4.0,0.0,0.0,4.0,8.0,0.0,0.0,16.0,0.0,4.0,4.0,0.0,8.0,12.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,256.0,56.0,20.0,16.0,24.0,0.0,8.0,16.0,0.0,12.0,0.0,0.0,4.0,4.0,0.0,8.0,0.0,8.0,4.0,0.0,8.0,36.0,0.0,0.0,8.0,0.0,0.0,68.0,8.0,0.0,32.0,0.0,0.0,0.0,16.0,0.0,8.0,24.0,0.0,8.0,0.0,4.0,12.0,4.0,0.0
49,24.0,4.0,92.0,76.0,56.0,52.0,56.0,100.0,48.0,88.0,92.0,100.0,40.0,12.0,188.0,0.0,52.0,44.0,24.0,52.0,88.0,36.0,40.0,44.0,4.0,44.0,12.0,0.0,32.0,40.0,12.0,36.0,96.0,40.0,52.0,40.0,28.0,28.0,64.0,68.0,8.0,32.0,0.0,88.0,36.0,16.0,0.0,180.0,400.0,92.0,52.0,136.0,0.0,112.0,32.0,12.0,36.0,0.0,0.0,0.0,12.0,12.0,20.0,24.0,28.0,28.0,8.0,40.0,96.0,20.0,4.0,56.0,44.0,4.0,92.0,20.0,24.0,52.0,0.0,24.0,24.0,40.0,12.0,72.0,68.0,28.0,32.0,0.0,40.0,116.0,56.0,4.0
50,4.0,0.0,4.0,36.0,4.0,20.0,0.0,28.0,24.0,72.0,56.0,40.0,0.0,0.0,24.0,4.0,8.0,20.0,0.0,16.0,32.0,12.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,16.0,8.0,36.0,8.0,0.0,12.0,8.0,0.0,8.0,4.0,8.0,0.0,8.0,8.0,4.0,0.0,64.0,52.0,108.0,24.0,28.0,0.0,44.0,8.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,28.0,28.0,0.0,0.0,8.0,24.0,0.0,20.0,20.0,0.0,0.0,0.0,24.0,4.0,24.0,0.0,44.0,16.0,24.0,12.0,0.0,8.0,40.0,12.0,0.0
51,40.0,4.0,12.0,112.0,24.0,44.0,24.0,112.0,52.0,128.0,64.0,68.0,20.0,36.0,108.0,0.0,8.0,60.0,0.0,36.0,40.0,24.0,28.0,44.0,0.0,44.0,0.0,4.0,80.0,44.0,36.0,24.0,48.0,28.0,44.0,80.0,40.0,24.0,48.0,24.0,16.0,16.0,8.0,8.0,8.0,72.0,0.0,108.0,112.0,148.0,204.0,104.0,0.0,148.0,28.0,16.0,60.0,0.0,0.0,4.0,24.0,24.0,4.0,4.0,32.0,4.0,32.0,16.0,60.0,0.0,0.0,100.0,116.0,8.0,44.0,40.0,8.0,68.0,0.0,40.0,44.0,60.0,8.0,52.0,60.0,72.0,16.0,0.0,68.0,100.0,136.0,0.0
52,8.0,0.0,4.0,16.0,8.0,4.0,8.0,20.0,12.0,28.0,8.0,4.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,8.0,8.0,4.0,4.0,0.0,0.0,12.0,24.0,8.0,8.0,8.0,8.0,0.0,8.0,0.0,4.0,4.0,0.0,0.0,20.0,16.0,4.0,16.0,208.0,16.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,4.0,0.0,16.0,0.0,16.0,4.0,0.0,4.0,24.0,8.0,0.0,4.0,12.0,4.0,0.0,0.0,4.0,12.0,8.0,0.0,4.0,12.0,8.0,0.0,0.0,8.0,32.0,16.0,0.0
53,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,80.0,0.0,4.0,52.0,8.0,16.0,4.0,24.0,0.0,76.0,20.0,12.0,8.0,20.0,12.0,0.0,12.0,108.0,0.0,132.0,8.0,16.0,8.0,24.0,0.0,16.0,4.0,0.0,20.0,28.0,24.0,12.0,32.0,12.0,8.0,0.0,4.0,12.0,16.0,12.0,8.0,8.0,0.0,16.0,8.0,20.0,4.0,32.0,40.0,12.0,12.0,44.0,0.0,516.0,24.0,16.0,28.0,0.0,4.0,4.0,4.0,20.0,4.0,12.0,12.0,24.0,0.0,16.0,32.0,4.0,0.0,28.0,176.0,8.0,24.0,4.0,132.0,116.0,0.0,0.0,8.0,28.0,12.0,4.0,4.0,4.0,16.0,0.0,24.0,12.0,116.0,0.0
55,8.0,0.0,12.0,8.0,0.0,16.0,0.0,28.0,0.0,4.0,20.0,24.0,4.0,0.0,16.0,4.0,28.0,8.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,28.0,24.0,20.0,12.0,28.0,0.0,20.0,56.0,4.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,20.0,4.0,4.0,28.0,16.0,4.0,8.0,12.0,0.0,4.0,0.0,8.0,0.0,24.0,0.0,8.0,12.0,0.0,8.0,0.0,28.0,60.0,40.0,0.0
56,40.0,4.0,4.0,40.0,68.0,40.0,44.0,12.0,4.0,56.0,0.0,28.0,52.0,168.0,12.0,0.0,52.0,40.0,24.0,48.0,8.0,372.0,32.0,336.0,4.0,204.0,160.0,0.0,4.0,88.0,128.0,28.0,24.0,32.0,28.0,48.0,16.0,8.0,72.0,196.0,92.0,240.0,0.0,396.0,12.0,36.0,4.0,40.0,48.0,4.0,24.0,32.0,8.0,64.0,16.0,372.0,20.0,0.0,0.0,64.0,320.0,236.0,40.0,124.0,0.0,212.0,16.0,8.0,4.0,4.0,0.0,24.0,36.0,0.0,16.0,4.0,52.0,104.0,0.0,4.0,16.0,52.0,4.0,16.0,80.0,52.0,36.0,4.0,32.0,36.0,44.0,0.0
57,4.0,4.0,4.0,12.0,20.0,116.0,8.0,16.0,0.0,80.0,8.0,4.0,8.0,0.0,16.0,0.0,12.0,4.0,4.0,8.0,0.0,8.0,8.0,16.0,0.0,12.0,4.0,0.0,28.0,36.0,4.0,32.0,0.0,24.0,32.0,8.0,4.0,4.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,20.0,12.0,4.0,16.0,4.0,4.0,8.0,0.0,4.0,264.0,0.0,0.0,0.0,16.0,12.0,4.0,0.0,4.0,8.0,40.0,16.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,12.0,24.0,0.0,4.0,0.0,52.0,40.0,0.0,20.0,32.0,24.0,0.0
58,4.0,0.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,16.0,12.0,148.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,148.0,0.0,0.0,136.0,4.0,0.0,8.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,280.0,0.0,0.0,4.0,0.0,4.0,12.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,592.0,212.0,52.0,4.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,148.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,12.0,0.0,76.0
59,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,4.0,0.0,0.0,4.0,0.0,12.0,12.0,0.0,4.0,4.0,0.0,8.0,12.0,4.0,88.0,0.0,4.0,56.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,588.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,20.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,44.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,4.0,4.0,8.0,4.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,4.0,4.0,92.0,0.0,0.0,8.0,16.0,0.0,12.0,8.0,24.0,0.0,52.0,0.0,56.0,52.0,0.0,0.0,20.0,20.0,4.0,12.0,8.0,16.0,0.0,0.0,0.0,0.0,36.0,24.0,48.0,0.0,48.0,0.0,4.0,0.0,8.0,8.0,0.0,4.0,4.0,0.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,96.0,24.0,12.0,28.0,0.0,32.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,12.0,0.0,4.0,4.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,4.0,0.0
62,8.0,8.0,4.0,4.0,12.0,4.0,32.0,12.0,4.0,4.0,12.0,4.0,8.0,16.0,0.0,0.0,12.0,16.0,0.0,20.0,12.0,92.0,12.0,44.0,0.0,36.0,16.0,0.0,8.0,36.0,52.0,8.0,8.0,0.0,4.0,24.0,8.0,4.0,8.0,24.0,0.0,24.0,0.0,32.0,4.0,0.0,0.0,12.0,12.0,16.0,8.0,0.0,4.0,12.0,0.0,4.0,16.0,0.0,0.0,4.0,8.0,236.0,16.0,0.0,12.0,32.0,4.0,4.0,8.0,4.0,0.0,12.0,4.0,0.0,8.0,8.0,20.0,20.0,0.0,4.0,0.0,8.0,4.0,8.0,0.0,0.0,20.0,0.0,8.0,12.0,8.0,0.0
63,4.0,0.0,0.0,4.0,40.0,0.0,44.0,16.0,8.0,8.0,24.0,8.0,16.0,4.0,32.0,0.0,36.0,32.0,0.0,24.0,4.0,20.0,0.0,20.0,4.0,56.0,12.0,0.0,0.0,76.0,40.0,20.0,0.0,8.0,12.0,4.0,0.0,12.0,12.0,20.0,20.0,44.0,0.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,32.0,4.0,12.0,40.0,0.0,0.0,4.0,16.0,4.0,224.0,48.0,12.0,20.0,0.0,0.0,4.0,0.0,0.0,12.0,8.0,0.0,4.0,8.0,8.0,0.0,0.0,12.0,8.0,4.0,0.0,16.0,12.0,20.0,0.0,0.0,8.0,0.0,4.0,0.0
64,0.0,12.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,32.0,0.0,36.0,0.0,4.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,28.0,8.0,16.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,16.0,16.0,4.0,188.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
65,4.0,0.0,8.0,12.0,4.0,24.0,20.0,20.0,12.0,12.0,28.0,16.0,20.0,0.0,20.0,4.0,32.0,4.0,8.0,16.0,44.0,8.0,24.0,12.0,8.0,8.0,4.0,0.0,8.0,36.0,12.0,12.0,4.0,0.0,12.0,12.0,24.0,40.0,24.0,0.0,4.0,0.0,0.0,16.0,24.0,20.0,4.0,32.0,8.0,16.0,4.0,32.0,0.0,12.0,4.0,4.0,12.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,152.0,0.0,12.0,28.0,12.0,0.0,0.0,20.0,12.0,4.0,8.0,24.0,24.0,20.0,0.0,44.0,20.0,20.0,4.0,8.0,20.0,8.0,4.0,0.0,28.0,16.0,8.0,0.0
66,24.0,8.0,4.0,72.0,24.0,24.0,36.0,16.0,24.0,16.0,32.0,8.0,24.0,112.0,20.0,0.0,36.0,40.0,12.0,32.0,16.0,136.0,16.0,128.0,4.0,100.0,72.0,0.0,28.0,40.0,48.0,36.0,12.0,24.0,16.0,0.0,12.0,16.0,36.0,108.0,28.0,132.0,0.0,208.0,8.0,32.0,4.0,16.0,20.0,28.0,28.0,12.0,0.0,16.0,20.0,84.0,32.0,4.0,4.0,24.0,72.0,68.0,24.0,36.0,32.0,304.0,20.0,12.0,8.0,4.0,0.0,8.0,32.0,0.0,20.0,28.0,12.0,12.0,0.0,4.0,8.0,24.0,0.0,4.0,4.0,16.0,20.0,0.0,24.0,48.0,20.0,0.0
67,8.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,4.0,8.0,0.0,8.0,0.0,0.0,48.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,8.0,12.0,0.0,4.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,8.0,4.0
