GEOID,NAMELSAD,zone_id,centroid_lon,centroid_lat,area_sq_mi,total_jobs,retail_jobs,health_jobs,education_jobs,accommodation_jobs,govt_jobs,est_population
06061020713,Census Tract 207.13,45,-121.27051317872748,38.73293955767123,0.5853935986442255,2417.0,199.0,151.0,62.0,203.0,0.0,5793.0
06061021129,Census Tract 211.29,46,-121.25405721757282,38.7790993443884,0.6657097889109028,477.0,12.0,63.0,56.0,61.0,0.0,1142.0
06061021040,Census Tract 210.40,47,-121.34734102588588,38.77633312997073,1.073990247668844,206.0,2.0,15.0,0.0,0.0,0.0,493.0
06061021038,Census Tract 210.38,48,-121.32259052278614,38.75735105425554,1.0737510944648692,518.0,3.0,25.0,143.0,93.0,0.0,1241.0
06061020908,Census Tract 209.08,49,-121.31640670981456,38.73934845336698,4.128341051350479,3466.0,235.0,203.0,424.0,242.0,32.0,8308.0
06061021046,Census Tract 210.46,50,-121.30538613773592,38.76548531836592,0.6440543820810962,715.0,29.0,147.0,21.0,185.0,0.0,1713.0
06061021034,Census Tract 210.34,51,-121.2991466209534,38.78393943283197,1.0943650725924625,3256.0,329.0,47.0,94.0,169.0,0.0,7805.0
06061021044,Census Tract 210.44,52,-121.33551521924797,38.78274453121209,0.9290665472115887,503.0,131.0,28.0,114.0,31.0,0.0,1205.0
06061021039,Census Tract 210.39,53,-121.35208477931198,38.78462163742836,0.7146418329520434,16.0,0.0,1.0,0.0,0.0,0.0,38.0
06061021403,Census Tract 214.03,54,-121.3030390232871,38.89030186834307,1.0250417861098535,1124.0,34.0,2.0,205.0,143.0,0.0,2694.0
06061021037,Census Tract 210.37,55,-121.31990824583625,38.76681224995399,0.39989287464866524,423.0,24.0,0.0,20.0,10.0,0.0,1013.0
06061020401,Census Tract 204.01,56,-121.07707172788545,38.89231844477239,1.0162549081628973,2675.0,129.0,318.0,133.0,400.0,206.0,6411.0
06061021123,Census Tract 211.23,57,-121.23456209827796,38.827801873415076,4.56685063437075,683.0,71.0,78.0,121.0,45.0,0.0,1636.0
06061022014,Census Tract 220.14,58,-120.36037696857183,39.26127684497412,123.46754265095666,2712.0,64.0,21.0,22.0,481.0,3.0,6501.0
06061022011,Census Tract 220.11,59,-120.132533390811,39.27522493715846,50.42293385133292,2331.0,84.0,91.0,78.0,1417.0,0.0,5587.0
06061022013,Census Tract 220.13,60,-120.72278409015372,39.22515612945797,126.49216770365604,191.0,30.0,32.0,21.0,29.0,23.0,457.0
06061020402,Census Tract 204.02,61,-121.06369337179687,38.88324717681043,3.228471182286387,389.0,11.0,15.0,28.0,0.0,0.0,932.0
06061020502,Census Tract 205.02,62,-121.09775166778988,38.857140758010594,10.631583851913335,610.0,8.0,25.0,2.0,19.0,229.0,1462.0
06061021204,Census Tract 212.04,63,-121.19147056516421,38.866405546909384,12.110578811191369,714.0,73.0,131.0,22.0,43.0,0.0,1711.0
06061021604,Census Tract 216.04,64,-121.16545957302823,38.97799190768716,36.39399490944863,230.0,7.0,11.0,0.0,3.0,0.0,551.0
06061020714,Census Tract 207.14,65,-121.27500147203752,38.724655179830606,0.9053221082820201,1100.0,110.0,33.0,27.0,85.0,57.0,2636.0
06061021603,Census Tract 216.03,66,-121.11065073080427,38.95224511596083,1.6511957397661259,1605.0,81.0,22.0,72.0,141.0,0.0,3847.0
06061021122,Census Tract 211.22,67,-121.2420643288858,38.829052906765384,1.204400080626784,304.0,73.0,19.0,0.0,41.0,0.0,728.0
06061020710,Census Tract 207.10,68,-121.23819752977793,38.72637947342828,1.367799302865144,221.0,1.0,16.0,78.0,0.0,0.0,529.0
06061021043,Census Tract 210.43,69,-121.31949291703576,38.78226902407582,2.2519357415353967,7162.0,122.0,596.0,70.0,7.0,38.0,17168.0
06061023800,Census Tract 238,70,-121.25688618547747,38.87697073193484,3.061177965991888,73.0,0.0,4.0,20.0,0.0,0.0,174.0
06061022200,Census Tract 222,71,-120.16962824870964,39.1707274140251,9.297334511949794,1722.0,291.0,98.0,63.0,527.0,150.0,4127.0
06061022600,Census Tract 226,72,-121.28601774396863,38.77948276900573,1.1699758139011125,4641.0,809.0,841.0,63.0,452.0,0.0,11124.0
06061023400,Census Tract 234,73,-121.34526115517183,38.91001487186597,6.607951831873777,1876.0,16.0,66.0,253.0,23.0,0.0,4497.0
06061023700,Census Tract 237,74,-121.28282068372243,38.8715276688434,1.7941601735277706,606.0,209.0,14.0,0.0,105.0,0.0,1452.0
