origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
12,124.24,85.46,111.44,19.78,69.05,34.18,66.41,151.63,156.65,253.79,277.1,15.68,230.7,79.01,199.34,111.85,71.69,92.99,206.33,311.77,135.96,17.42,124.25,73.69,4.67,2.14
13,370.45,251.58,340.89,59.87,208.26,103.11,196.3,306.79,480.4,319.93,667.63,242.08,133.75,498.58,598.16,395.96,244.95,335.61,1033.0,967.32,423.69,57.6,385.24,228.45,15.44,7.11
14,156.48,107.2,162.67,25.26,87.73,43.41,83.08,120.91,233.94,119.9,288.7,83.75,475.07,22.99,257.8,202.94,137.08,159.98,698.12,485.86,210.9,25.19,194.16,115.36,6.75,3.12
15,383.61,279.72,322.76,59.93,214.6,102.8,208.25,288.4,447.4,295.91,843.02,220.0,607.12,284.19,118.42,341.71,319.31,285.78,697.96,877.92,384.57,52.36,349.46,207.15,14.04,6.45
16,562.19,228.07,529.44,120.17,456.16,222.08,245.6,497.6,758.03,313.51,334.3,122.35,400.46,200.87,332.16,2280.57,535.18,697.23,810.52,1545.44,724.04,184.06,598.12,348.74,49.48,22.54
17,416.44,142.18,301.72,101.74,415.48,125.93,148.59,287.65,428.06,189.51,216.7,77.02,244.21,134.19,308.36,527.45,593.88,319.57,377.29,847.83,408.74,107.28,336.24,196.2,28.75,13.12
18,439.04,195.66,395.33,87.8,318.26,159.67,199.55,389.78,559.83,260.34,310.36,110.59,383.59,177.5,304.83,689.72,315.55,943.32,802.28,1171.83,559.47,166.68,450.2,262.8,44.31,20.23
19,549.79,337.06,482.59,92.2,324.18,160.92,282.15,435.93,675.9,396.63,765.54,238.76,1127.75,670.98,707.52,837.64,388.96,715.42,363.29,1346.01,598.99,100.19,532.39,314.76,26.78,12.28
20,1419.39,645.65,770.56,399.1,1334.25,577.48,541.53,1119.61,750.12,739.17,942.89,362.31,966.51,484.34,875.83,1549.44,851.77,1216.38,1342.4,3765.49,1372.09,1238.04,639.05,456.54,349.54,223.98
21,650.13,286.35,501.1,190.4,655.26,271.71,248.93,525.91,596.26,335.52,413.49,158.94,426.87,211.32,386.51,740.15,419.5,608.5,603.06,1386.81,2260.21,2656.42,797.8,635.76,428.71,283.29
22,129.05,42.29,311.25,44.6,178.91,64.47,51.16,124.84,485.58,62.25,53.53,20.61,60.68,25.65,54.19,196.87,116.23,212.89,103.65,1245.24,2603.61,1034.45,916.83,1314.76,584.75,721.9
23,559.48,257.17,314.48,159.44,530.86,225.47,213.23,437.62,307.8,292.27,376.94,144.83,385.54,193.93,349.44,602.3,339.14,466.02,532.76,643.64,793.78,920.95,417.6,265.89,561.09,160.35
24,332.65,153.52,208.01,94.76,314.82,133.39,126.83,259.41,217.36,174.1,225.33,86.57,230.42,116.01,208.79,356.91,201.26,277.43,318.24,465.87,690.35,1162.53,287.67,155.95,232.44,129.13
25,35.9,11.75,88.57,12.38,49.61,17.99,14.21,34.73,138.41,17.29,14.85,5.72,16.82,7.11,15.03,54.66,32.18,58.53,28.67,354.42,429.98,601.49,572.83,202.2,81.37,171.95
26,15.71,5.19,55.99,5.43,21.6,7.84,6.22,15.12,89.22,7.59,6.58,2.53,7.45,3.16,6.65,23.8,13.99,25.42,12.63,225.39,281.25,725.2,159.49,117.86,166.09,15.39
