origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,1104.9,825.08,900.75,252.29,941.69,405.75,266.87,460.34,727.83,320.34,440.93,137.43,376.39,160.6,385.52,573.94,430.47,451.24,539.37,1420.44,642.11,122.58,557.91,327.9,33.0,15.06
2,819.96,83.89,358.23,83.56,269.96,129.88,137.37,193.08,328.64,167.38,383.9,93.76,252.31,111.93,282.06,231.85,146.59,188.95,327.78,646.88,284.52,40.61,257.08,152.2,10.91,5.01
3,893.91,357.21,466.5,290.39,896.53,449.64,261.21,403.25,398.65,272.12,351.84,127.15,341.24,163.0,321.66,530.86,304.26,400.37,477.07,770.48,496.33,308.01,313.39,205.69,86.94,55.51
4,235.54,79.01,277.13,95.57,756.88,96.03,47.88,89.88,186.81,54.9,61.27,20.91,57.9,24.44,57.03,115.66,95.69,88.44,85.97,396.86,185.95,40.86,158.22,92.83,10.99,5.05
5,921.42,266.36,889.31,808.39,1616.68,349.52,175.35,342.12,632.79,203.21,218.29,75.5,208.79,87.67,210.43,454.99,420.82,336.18,313.6,1328.31,638.73,165.28,526.32,306.96,44.37,20.23
6,400.22,128.91,448.59,101.35,352.09,441.89,174.35,193.07,299.01,102.67,119.15,37.88,104.75,43.91,102.39,224.91,129.1,171.11,157.8,576.59,266.67,60.68,224.22,130.82,16.4,7.46
7,270.43,142.02,260.85,50.06,176.11,174.23,147.32,231.05,290.21,155.58,328.94,73.77,200.66,86.72,210.37,249.78,153.18,199.65,277.7,541.33,245.23,48.04,212.45,124.87,12.91,5.89
8,439.48,185.76,398.07,91.49,333.26,186.8,223.15,1106.06,712.88,681.85,293.63,158.99,303.38,117.71,274.89,482.59,282.98,386.59,405.25,1114.3,513.71,114.9,434.46,254.15,30.98,14.15
9,721.16,326.45,396.99,188.03,630.47,296.97,289.45,719.37,649.16,421.5,488.2,178.68,477.73,232.73,442.39,753.77,427.1,563.52,665.4,747.16,589.32,481.4,305.82,214.46,136.34,88.58
10,308.43,162.11,269.55,56.15,199.54,99.54,149.45,688.18,420.3,195.47,328.72,264.47,319.45,118.36,283.39,306.39,187.88,246.35,367.67,737.73,330.5,57.98,291.12,171.65,15.58,7.15
11,448.38,414.64,352.7,64.31,220.77,117.31,325.53,299.14,483.97,334.19,108.92,297.36,683.44,325.8,889.38,336.64,221.29,283.19,756.45,935.81,406.93,49.96,373.49,221.7,13.39,6.16
