origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,1791.73,1337.97,1460.68,409.12,1527.07,657.97,432.76,746.5,1180.27,519.46,715.02,222.85,610.36,260.43,625.17,930.71,698.06,731.74,874.65,2303.42,1041.26,198.78,904.72,531.73,53.52,24.41
2,1329.67,136.04,580.92,135.51,437.77,210.61,222.76,313.11,532.93,271.43,622.54,152.04,409.16,181.51,457.39,375.97,237.71,306.4,531.53,1048.99,461.38,65.85,416.88,246.81,17.69,8.12
3,1449.59,579.26,756.48,470.9,1453.83,729.14,423.58,653.92,646.46,441.27,570.56,206.2,553.35,264.33,521.6,860.86,493.39,649.25,773.63,1249.42,804.85,499.48,508.19,333.56,140.99,90.02
4,381.96,128.13,449.4,154.98,1227.37,155.73,77.64,145.76,302.94,89.02,99.36,33.9,93.88,39.63,92.48,187.56,155.17,143.42,139.41,643.55,301.53,66.27,256.57,150.53,17.82,8.18
5,1494.2,431.94,1442.12,1310.9,2621.64,566.78,284.36,554.8,1026.14,329.54,353.99,122.43,338.58,142.17,341.25,737.82,682.41,545.15,508.54,2154.01,1035.78,268.02,853.49,497.78,71.95,32.81
6,649.0,209.04,727.45,164.35,570.96,716.59,282.73,313.09,484.88,166.5,193.22,61.42,169.86,71.21,166.03,364.71,209.35,277.48,255.9,935.02,432.44,98.4,363.59,212.14,26.6,12.1
7,438.54,230.3,423.0,81.18,285.58,282.54,238.9,374.67,470.61,252.29,533.42,119.62,325.4,140.62,341.15,405.04,248.41,323.76,450.32,877.82,397.67,77.91,344.51,202.49,20.94,9.55
8,712.68,301.23,645.52,148.36,540.42,302.92,361.86,1793.61,1156.03,1105.7,476.16,257.82,491.97,190.88,445.76,782.59,458.89,626.9,657.16,1806.98,833.05,186.33,704.53,412.14,50.23,22.94
9,1169.45,529.38,643.77,304.91,1022.38,481.58,469.38,1166.54,1052.69,683.52,791.68,289.74,774.71,377.4,717.39,1222.32,692.59,913.82,1079.03,1211.6,955.65,780.66,495.92,347.77,221.08,143.64
10,500.16,262.87,437.11,91.05,323.58,161.42,242.35,1115.96,681.57,316.98,533.06,428.88,518.03,191.93,459.55,496.86,304.68,399.49,596.22,1196.32,535.95,94.02,472.09,278.36,25.27,11.59
11,727.11,672.38,571.95,104.28,358.0,190.24,527.89,485.09,784.82,541.92,176.63,482.21,1108.29,528.32,1442.24,545.91,358.85,459.22,1226.68,1517.54,659.89,81.02,605.65,359.51,21.71,9.98
12,201.48,138.58,180.72,32.07,111.98,55.43,107.68,245.88,254.03,411.55,449.35,25.43,374.1,128.12,323.26,181.38,116.26,150.79,334.58,505.58,220.47,28.24,201.49,119.5,7.57,3.47
13,600.73,407.97,552.79,97.08,337.71,167.2,318.32,497.49,779.03,518.81,1082.65,392.56,216.89,808.5,969.99,642.09,397.21,544.23,1675.14,1568.63,687.06,93.41,624.71,370.46,25.03,11.54
14,253.76,173.84,263.79,40.96,142.27,70.39,134.73,196.07,379.35,194.43,468.16,135.81,770.39,37.28,418.06,329.1,222.3,259.43,1132.09,787.88,342.0,40.86,314.86,187.07,10.94,5.05
15,622.07,453.6,523.4,97.18,348.0,166.7,337.7,467.67,725.52,479.86,1367.06,356.76,984.52,460.84,192.03,554.13,517.79,463.42,1131.83,1423.65,623.63,84.92,566.69,335.91,22.76,10.47
16,911.66,369.84,858.55,194.87,739.72,360.13,398.27,806.92,1229.24,508.39,542.1,198.4,649.39,325.73,538.64,3698.23,867.86,1130.65,1314.35,2506.13,1174.12,298.48,969.93,565.53,80.24,36.56
17,675.31,230.56,489.27,164.99,673.75,204.2,240.95,466.45,694.15,307.31,351.41,124.9,396.02,217.61,500.04,855.32,963.05,518.22,611.83,1374.85,662.82,173.97,545.26,318.17,46.63,21.27
18,711.95,317.28,641.07,142.37,516.1,258.92,323.6,632.08,907.84,422.18,503.28,179.34,622.03,287.84,494.32,1118.46,511.71,1529.71,1300.99,1900.26,907.24,270.29,730.05,426.17,71.86,32.8
19,891.56,546.59,782.58,149.51,525.7,260.95,457.54,706.91,1096.05,643.18,1241.41,387.18,1828.78,1088.08,1147.33,1358.34,630.74,1160.14,589.12,2182.72,971.34,162.46,863.34,510.42,43.42,19.91
20,2301.72,1047.0,1249.56,647.19,2163.65,936.45,878.16,1815.58,1216.42,1198.65,1529.02,587.54,1567.32,785.41,1420.27,2512.6,1381.24,1972.51,2176.87,6106.2,2225.02,2007.63,1036.3,740.33,566.83,363.21
21,1054.27,464.36,812.59,308.76,1062.58,440.6,403.67,852.83,966.91,544.08,670.53,257.74,692.23,342.68,626.77,1200.24,680.26,986.76,977.94,2248.88,3665.21,4307.71,1293.74,1030.96,695.21,459.39
22,209.27,68.58,504.74,72.32,290.13,104.54,82.96,202.44,787.43,100.94,86.8,33.41,98.41,41.59,87.88,319.25,188.49,345.22,168.07,2019.3,4222.07,1677.49,1486.75,2132.04,948.24,1170.65
23,907.26,417.04,509.97,258.55,860.85,365.63,345.78,709.66,499.14,473.95,611.25,234.86,625.2,314.48,566.66,976.7,549.96,755.71,863.94,1043.74,1287.2,1493.42,677.18,431.17,909.88,260.03
24,539.44,248.96,337.31,153.67,510.52,216.31,205.67,420.66,352.47,282.32,365.4,140.38,373.66,188.13,338.58,578.78,326.37,449.89,516.07,755.46,1119.49,1885.19,466.49,252.89,376.94,209.4
25,58.22,19.05,143.63,20.08,80.45,29.18,23.04,56.33,224.45,28.03,24.07,9.27,27.28,11.53,24.37,88.65,52.19,94.91,46.48,574.73,697.27,975.39,928.92,327.89,131.96,278.84
26,25.48,8.41,90.8,8.8,35.03,12.71,10.08,24.52,144.68,12.3,10.67,4.11,12.08,5.13,10.79,38.59,22.69,41.23,20.48,365.51,456.08,1176.0,258.63,191.13,269.33,24.95
