origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
11,605.92,560.32,476.62,86.9,298.33,158.53,439.91,404.24,654.02,451.6,147.19,401.84,923.57,440.26,1201.87,454.92,299.04,382.69,1022.23,1264.61,549.9,67.51,504.71,299.59,18.09,8.32
12,167.9,115.48,150.6,26.73,93.31,46.19,89.74,204.9,211.69,342.96,374.46,21.19,311.75,106.76,269.38,151.15,96.88,125.66,278.82,421.31,183.73,23.53,167.91,99.58,6.31,2.89
13,500.61,339.98,460.66,80.9,281.43,139.33,265.27,414.58,649.19,432.34,902.2,327.13,180.74,673.75,808.32,535.08,331.01,453.53,1395.95,1307.19,572.55,77.84,520.59,308.72,20.86,9.61
14,211.46,144.87,219.82,34.13,118.56,58.66,112.27,163.39,316.13,162.03,390.14,113.18,641.99,31.07,348.38,274.25,185.25,216.19,943.41,656.56,285.0,34.05,262.38,155.89,9.12,4.21
15,518.39,378.0,436.17,80.98,290.0,138.91,281.42,389.72,604.6,399.88,1139.22,297.3,820.43,384.03,160.03,461.78,431.49,386.19,943.19,1186.38,519.69,70.76,472.24,279.93,18.97,8.72
16,759.72,308.2,715.46,162.39,616.43,300.11,331.89,672.44,1024.37,423.66,451.75,165.33,541.16,271.44,448.87,3081.86,723.22,942.21,1095.3,2088.44,978.43,248.73,808.27,471.28,66.86,30.46
17,562.76,192.13,407.73,137.49,561.46,170.17,200.79,388.71,578.46,256.09,292.84,104.09,330.01,181.34,416.7,712.77,802.54,431.85,509.86,1145.71,552.35,144.97,454.38,265.14,38.86,17.73
18,593.3,264.4,534.22,118.64,430.08,215.77,269.67,526.73,756.53,351.81,419.4,149.45,518.36,239.87,411.93,932.05,426.43,1274.76,1084.16,1583.55,756.04,225.24,608.37,355.14,59.88,27.33
19,742.96,455.49,652.15,124.59,438.08,217.46,381.28,589.09,913.37,535.99,1034.51,322.65,1523.98,906.73,956.11,1131.95,525.62,966.79,490.93,1818.93,809.45,135.39,719.45,425.35,36.18,16.59
20,1918.1,872.5,1041.3,539.33,1803.04,780.37,731.8,1512.98,1013.68,998.87,1274.18,489.61,1306.1,654.51,1183.56,2093.83,1151.04,1643.75,1814.06,5088.5,1854.18,1673.03,863.58,616.94,472.35,302.68
21,878.56,386.96,677.16,257.3,885.48,367.17,336.4,710.69,805.76,453.4,558.77,214.79,576.86,285.57,522.31,1000.2,566.89,822.3,814.95,1874.07,3054.34,3589.76,1078.11,859.13,579.34,382.82
22,174.39,57.15,420.61,60.27,241.77,87.12,69.13,168.7,656.19,84.12,72.34,27.85,82.01,34.66,73.23,266.04,157.07,287.69,140.06,1682.75,3518.4,1397.91,1238.96,1776.7,790.2,975.54
23,756.05,347.53,424.98,215.46,717.38,304.7,288.15,591.38,415.95,394.96,509.37,195.72,521.0,262.07,472.22,813.91,458.3,629.76,719.95,869.78,1072.67,1244.52,564.32,359.31,758.24,216.69
24,449.53,207.47,281.09,128.06,425.43,180.26,171.39,350.55,293.73,235.26,304.5,116.98,311.38,156.77,282.15,482.32,271.98,374.91,430.05,629.55,932.91,1570.99,388.74,210.74,314.11,174.5
25,48.51,15.87,119.69,16.73,67.04,24.31,19.2,46.94,187.04,23.36,20.06,7.73,22.73,9.61,20.31,73.87,43.49,79.09,38.74,478.94,581.06,812.83,774.1,273.24,109.96,232.36
26,21.23,7.01,75.66,7.33,29.19,10.6,8.4,20.43,120.57,10.25,8.89,3.42,10.07,4.27,8.99,32.16,18.91,34.35,17.07,304.59,380.07,980.0,215.53,159.28,224.44,20.79
