origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,1493.11,1114.98,1217.24,340.93,1272.56,548.31,360.63,622.09,983.56,432.89,595.85,185.71,508.63,217.02,520.98,775.6,581.71,609.78,728.88,1919.51,867.72,165.65,753.94,443.11,44.6,20.35
2,1108.06,113.37,484.1,112.92,364.81,175.51,185.63,260.92,444.11,226.19,518.79,126.7,340.96,151.26,381.16,313.31,198.09,255.33,442.94,874.16,384.48,54.88,347.4,205.67,14.74,6.77
3,1207.99,482.72,630.4,392.41,1211.52,607.62,352.99,544.93,538.71,367.72,475.46,171.83,461.13,220.27,434.67,717.38,411.16,541.04,644.69,1041.19,670.71,416.23,423.49,277.96,117.49,75.02
4,318.3,106.77,374.5,129.15,1022.81,129.77,64.7,121.47,252.45,74.19,82.8,28.25,78.24,33.03,77.07,156.3,129.31,119.52,116.17,536.29,251.28,55.22,213.81,125.44,14.85,6.82
5,1245.17,359.95,1201.77,1092.42,2184.7,472.32,236.96,462.33,855.12,274.61,294.99,102.02,282.15,118.47,284.37,614.85,568.68,454.29,423.79,1795.01,863.15,223.35,711.24,414.82,59.96,27.34
6,540.83,174.2,606.21,136.96,475.8,597.15,235.61,260.91,404.06,138.75,161.02,51.18,141.55,59.34,138.36,303.93,174.46,231.23,213.25,779.18,360.37,82.0,302.99,176.78,22.16,10.08
7,365.45,191.91,352.5,67.65,237.99,235.45,199.08,312.23,392.17,210.24,444.52,99.68,271.16,117.19,284.29,337.54,207.0,269.8,375.26,731.52,331.39,64.92,287.09,168.74,17.45,7.96
8,593.9,251.02,537.93,123.63,450.35,252.43,301.55,1494.68,963.36,921.42,396.8,214.85,409.97,159.07,371.47,652.16,382.41,522.42,547.64,1505.82,694.2,155.27,587.1,343.45,41.86,19.11
9,974.54,441.15,536.48,254.09,851.98,401.31,391.15,972.12,877.24,569.6,659.73,241.45,645.59,314.5,597.82,1018.6,577.16,761.52,899.19,1009.67,796.38,650.55,413.27,289.81,184.24,119.7
10,416.8,219.06,364.26,75.88,269.65,134.52,201.96,929.97,567.97,264.15,444.22,357.4,431.69,159.94,382.96,414.05,253.9,332.9,496.85,996.94,446.63,78.35,393.41,231.96,21.06,9.66
