link_id,demand_ab,demand_ba,demand_tot,Preload_AB,Preload_BA,Preload_tot,Congested_Time_AB,Congested_Time_BA,Congested_Time_Max,Delay_factor_AB,Delay_factor_BA,Delay_factor_Max,VOC_AB,VOC_BA,VOC_max,PCE_AB,PCE_BA,PCE_tot
1,48.08439527299268,0.0,48.08439527299268,0.0,0.0,0.0,0.9952958574078379,0.0,0.9952958574078379,1.000000003132333,0.0,1.000000003132333,0.01202109881824817,0.0,0.01202109881824817,480.8439527299268,0.0,480.8439527299268
2,41.38781162900171,0.0,41.38781162900171,0.0,0.0,0.0,0.2635811891664929,0.0,0.2635811891664929,1.0000000017192583,0.0,1.0000000017192583,0.010346952907250427,0.0,0.010346952907250427,413.8781162900171,0.0,413.8781162900171
3,41.38781162900171,0.0,41.38781162900171,0.0,0.0,0.0,1.8965237875731913,0.0,1.8965237875731913,1.0000000017192583,0.0,1.0000000017192583,0.010346952907250427,0.0,0.010346952907250427,413.8781162900171,0.0,413.8781162900171
4,0.0,0.0,0.0,0.0,0.0,0.0,0.16627924686625498,0.16627924686625498,0.16627924686625498,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.12876316164342552,0.12876316164342552,0.12876316164342552,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.48721358300300344,0.48721358300300344,0.48721358300300344,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0686860715735759,0.0686860715735759,0.0686860715735759,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,4.079101036524728,4.079101036524728,4.079101036524728,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.3014049696072543,1.3014049696072543,1.3014049696072543,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.7722941003918256,0.7722941003918256,0.7722941003918256,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,2.6406246363773027,2.6406246363773027,2.6406246363773027,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.4694599574338602,0.4694599574338602,0.4694599574338602,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.04205389751919561,0.04205389751919561,0.04205389751919561,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.14661239291552025,0.14661239291552025,0.14661239291552025,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.3289340381276996,0.3289340381276996,0.3289340381276996,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.1757125938805674,0.1757125938805674,0.1757125938805674,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.20200562810033063,0.20200562810033063,0.20200562810033063,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.6125774598794124,0.6125774598794124,0.6125774598794124,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.611346227616036,0.611346227616036,0.611346227616036,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.12015806254374917,0.12015806254374917,0.12015806254374917,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
